Namespace(batchsize=8, epoch=80, gpu='0', learning_rate=0.0001, optimizer='Adam', workers=1)
epoch:53	 iter:1999/2000	 gpts loss:0.359	 depth loss:0.000	quat loss:-0.008	 joint loss:0.031	 total loss:0.382	 TP:475	 FP:805	TN:752	 FN:14	 acc:0.600	 p:0.369	r:0.957	 F1:0.262	 depth acc:0.999	 quat acc:0.386
epoch:54	 iter:1999/2000	 gpts loss:0.359	 depth loss:0.000	quat loss:-0.006	 joint loss:0.031	 total loss:0.383	 TP:475	 FP:805	TN:753	 FN:14	 acc:0.600	 p:0.369	r:0.957	 F1:0.262	 depth acc:0.999	 quat acc:0.385
epoch:55	 iter:1999/2000	 gpts loss:0.359	 depth loss:0.000	quat loss:-0.007	 joint loss:0.031	 total loss:0.383	 TP:475	 FP:804	TN:753	 FN:14	 acc:0.600	 p:0.369	r:0.958	 F1:0.262	 depth acc:0.999	 quat acc:0.386
epoch:56	 iter:1999/2000	 gpts loss:0.359	 depth loss:0.000	quat loss:-0.008	 joint loss:0.031	 total loss:0.382	 TP:475	 FP:804	TN:753	 FN:14	 acc:0.600	 p:0.369	r:0.957	 F1:0.262	 depth acc:0.999	 quat acc:0.387
epoch:57	 iter:1999/2000	 gpts loss:0.358	 depth loss:0.000	quat loss:-0.009	 joint loss:0.031	 total loss:0.380	 TP:475	 FP:804	TN:752	 FN:14	 acc:0.600	 p:0.370	r:0.958	 F1:0.263	 depth acc:1.000	 quat acc:0.387
epoch:58	 iter:1999/2000	 gpts loss:0.359	 depth loss:0.000	quat loss:-0.011	 joint loss:0.031	 total loss:0.379	 TP:475	 FP:804	TN:753	 FN:14	 acc:0.600	 p:0.370	r:0.957	 F1:0.262	 depth acc:0.999	 quat acc:0.390
epoch:59	 iter:1999/2000	 gpts loss:0.359	 depth loss:0.000	quat loss:-0.011	 joint loss:0.031	 total loss:0.379	 TP:475	 FP:803	TN:754	 FN:14	 acc:0.601	 p:0.371	r:0.958	 F1:0.263	 depth acc:0.999	 quat acc:0.389
epoch:60	 iter:1999/2000	 gpts loss:0.357	 depth loss:0.000	quat loss:-0.010	 joint loss:0.031	 total loss:0.378	 TP:475	 FP:804	TN:753	 FN:14	 acc:0.600	 p:0.371	r:0.958	 F1:0.263	 depth acc:1.000	 quat acc:0.389
epoch:61	 iter:1999/2000	 gpts loss:0.358	 depth loss:0.000	quat loss:-0.010	 joint loss:0.031	 total loss:0.379	 TP:475	 FP:805	TN:752	 FN:14	 acc:0.600	 p:0.370	r:0.958	 F1:0.263	 depth acc:1.000	 quat acc:0.388
epoch:62	 iter:1999/2000	 gpts loss:0.358	 depth loss:0.000	quat loss:-0.012	 joint loss:0.031	 total loss:0.377	 TP:475	 FP:803	TN:754	 FN:14	 acc:0.601	 p:0.369	r:0.957	 F1:0.262	 depth acc:0.999	 quat acc:0.390
epoch:63	 iter:1999/2000	 gpts loss:0.357	 depth loss:0.000	quat loss:-0.014	 joint loss:0.031	 total loss:0.374	 TP:476	 FP:804	TN:753	 FN:14	 acc:0.600	 p:0.370	r:0.959	 F1:0.263	 depth acc:1.000	 quat acc:0.391
epoch:64	 iter:1999/2000	 gpts loss:0.357	 depth loss:0.000	quat loss:-0.013	 joint loss:0.031	 total loss:0.375	 TP:476	 FP:805	TN:751	 FN:14	 acc:0.600	 p:0.371	r:0.959	 F1:0.263	 depth acc:1.000	 quat acc:0.391
